IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.17.115.162,4,4,0.00,151.30,0.00
104.17.54.186,4,4,0.00,151.42,0.00
104.19.61.241,4,4,0.00,151.62,0.00
104.19.177.137,4,4,0.00,152.62,0.00
104.18.13.58,4,4,0.00,152.73,0.00
104.18.15.9,4,4,0.00,152.80,0.00
104.17.231.42,4,4,0.00,152.95,0.00
104.17.251.54,4,4,0.00,153.07,0.00
104.16.230.62,4,4,0.00,153.09,0.00
104.19.99.20,4,4,0.00,153.18,0.00
104.19.192.217,4,4,0.00,154.22,0.00
104.17.219.228,4,4,0.00,154.60,0.00
104.18.200.82,4,4,0.00,155.09,0.00
104.18.82.175,4,4,0.00,155.19,0.00
104.17.91.213,4,4,0.00,155.23,0.00
104.19.96.47,4,4,0.00,155.31,0.00
104.18.72.50,4,4,0.00,155.46,0.00
104.19.98.109,4,4,0.00,155.61,0.00
104.18.154.187,4,4,0.00,155.64,0.00
104.31.16.167,4,4,0.00,155.76,0.00
104.19.174.226,4,4,0.00,155.83,0.00
104.19.66.181,4,4,0.00,155.83,0.00
104.17.112.195,4,4,0.00,155.97,0.00
104.18.199.27,4,4,0.00,156.18,0.00
104.17.14.254,4,4,0.00,156.52,0.00
104.19.22.122,4,4,0.00,156.71,0.00
104.19.23.246,4,4,0.00,156.71,0.00
104.18.238.38,4,4,0.00,156.88,0.00
104.17.244.59,4,4,0.00,156.92,0.00
104.16.206.24,4,4,0.00,156.98,0.00
104.17.13.42,4,4,0.00,157.05,0.00
104.17.83.246,4,4,0.00,157.05,0.00
104.16.228.9,4,4,0.00,157.11,0.00
104.17.125.245,4,4,0.00,157.18,0.00
104.17.245.0,4,4,0.00,157.44,0.00
104.16.236.15,4,4,0.00,157.54,0.00
104.19.33.161,4,4,0.00,157.57,0.00
104.17.15.172,4,4,0.00,157.58,0.00
104.19.97.203,4,4,0.00,157.66,0.00
104.19.24.88,4,4,0.00,157.69,0.00
104.19.94.85,4,4,0.00,157.74,0.00
104.19.183.87,4,4,0.00,157.74,0.00
104.19.34.184,4,4,0.00,157.88,0.00
104.19.173.46,4,4,0.00,157.92,0.00
104.19.181.25,4,4,0.00,157.96,0.00
104.19.180.61,4,4,0.00,158.12,0.00
104.17.145.188,4,4,0.00,158.13,0.00
104.18.181.157,4,4,0.00,158.15,0.00
104.17.252.128,4,4,0.00,158.16,0.00
104.19.32.41,4,4,0.00,158.17,0.00
104.19.106.212,4,4,0.00,158.29,0.00
104.16.245.60,4,4,0.00,158.38,0.00
104.17.226.93,4,4,0.00,158.46,0.00
104.16.249.156,4,4,0.00,158.49,0.00
104.19.182.224,4,4,0.00,158.55,0.00
104.17.6.252,4,4,0.00,158.66,0.00
104.18.189.10,4,4,0.00,158.73,0.00
104.17.216.64,4,4,0.00,158.75,0.00
104.17.18.117,4,4,0.00,158.81,0.00
104.18.178.62,4,4,0.00,158.88,0.00
104.19.20.210,4,4,0.00,158.91,0.00
104.19.167.94,4,4,0.00,158.91,0.00
104.19.57.57,4,4,0.00,158.94,0.00
104.18.84.187,4,4,0.00,159.05,0.00
104.16.204.237,4,4,0.00,159.13,0.00
104.18.81.90,4,4,0.00,159.16,0.00
104.18.75.106,4,4,0.00,159.20,0.00
104.17.35.27,4,4,0.00,159.29,0.00
104.17.85.60,4,4,0.00,159.29,0.00
104.16.225.99,4,4,0.00,159.31,0.00
104.19.143.221,4,4,0.00,159.32,0.00
104.17.36.68,4,4,0.00,159.35,0.00
104.18.201.196,4,4,0.00,159.38,0.00
104.16.238.172,4,4,0.00,159.49,0.00
104.19.27.73,4,4,0.00,159.54,0.00
104.18.180.156,4,4,0.00,159.60,0.00
104.19.101.185,4,4,0.00,159.72,0.00
104.18.74.125,4,4,0.00,159.73,0.00
104.19.28.122,4,4,0.00,160.00,0.00
104.17.2.16,4,4,0.00,160.11,0.00
104.17.101.252,4,4,0.00,160.11,0.00
104.17.3.19,4,4,0.00,160.11,0.00
104.19.178.3,4,4,0.00,160.12,0.00
104.18.51.220,4,4,0.00,160.18,0.00
104.18.73.150,4,4,0.00,160.21,0.00
104.19.14.100,4,4,0.00,160.28,0.00
104.17.223.62,4,4,0.00,160.29,0.00
104.16.246.247,4,4,0.00,160.35,0.00
104.18.95.26,4,4,0.00,160.38,0.00
104.16.203.6,4,4,0.00,160.38,0.00
104.17.87.38,4,4,0.00,160.46,0.00
104.19.95.10,4,4,0.00,160.53,0.00
104.19.214.246,4,4,0.00,160.65,0.00
104.18.4.253,4,4,0.00,160.66,0.00
104.18.88.130,4,4,0.00,160.66,0.00
104.17.8.71,4,4,0.00,160.67,0.00
104.16.205.152,4,4,0.00,160.75,0.00
104.18.179.81,4,4,0.00,160.77,0.00
104.19.91.227,4,4,0.00,160.84,0.00
104.17.80.217,4,4,0.00,160.95,0.00
104.18.184.130,4,4,0.00,161.06,0.00
104.18.78.181,4,4,0.00,161.07,0.00
104.16.202.105,4,4,0.00,161.09,0.00
104.19.179.205,4,4,0.00,161.09,0.00
104.18.139.21,4,4,0.00,161.40,0.00
104.19.102.78,4,4,0.00,161.50,0.00
104.19.175.74,4,4,0.00,161.51,0.00
104.19.239.168,4,4,0.00,161.58,0.00
104.17.21.98,4,4,0.00,161.60,0.00
104.18.127.29,4,4,0.00,161.64,0.00
104.19.176.237,4,4,0.00,161.67,0.00
104.18.20.144,4,4,0.00,161.67,0.00
104.19.185.170,4,4,0.00,161.68,0.00
104.18.244.122,4,4,0.00,161.68,0.00
104.17.227.9,4,4,0.00,161.72,0.00
104.19.123.42,4,4,0.00,161.72,0.00
104.19.21.90,4,4,0.00,161.75,0.00
104.17.82.239,4,4,0.00,161.78,0.00
104.19.42.243,4,4,0.00,161.91,0.00
104.18.94.242,4,4,0.00,161.92,0.00
104.16.253.19,4,4,0.00,161.96,0.00
104.18.107.26,4,4,0.00,161.98,0.00
104.18.85.125,4,4,0.00,162.14,0.00
104.19.16.215,4,4,0.00,162.17,0.00
104.17.93.225,4,4,0.00,162.19,0.00
104.17.59.165,4,4,0.00,162.27,0.00
104.17.81.230,4,4,0.00,162.51,0.00
104.18.202.39,4,4,0.00,162.60,0.00
104.17.225.75,4,4,0.00,162.65,0.00
104.16.247.240,4,4,0.00,162.68,0.00
104.16.201.124,4,4,0.00,162.68,0.00
104.19.19.201,4,4,0.00,162.79,0.00
104.17.29.236,4,4,0.00,162.79,0.00
104.19.63.237,4,4,0.00,162.84,0.00
104.16.240.167,4,4,0.00,162.97,0.00
104.17.46.51,4,4,0.00,163.01,0.00
104.18.183.252,4,4,0.00,163.05,0.00
104.18.83.161,4,4,0.00,163.10,0.00
104.19.86.180,4,4,0.00,163.14,0.00
104.18.76.76,4,4,0.00,163.14,0.00
104.19.191.184,4,4,0.00,163.20,0.00
104.17.119.165,4,4,0.00,163.24,0.00
104.19.116.208,4,4,0.00,163.24,0.00
104.19.190.12,4,4,0.00,163.24,0.00
104.18.190.20,4,4,0.00,163.27,0.00
104.17.240.145,4,4,0.00,163.32,0.00
104.18.97.26,4,4,0.00,163.41,0.00
104.16.248.115,4,4,0.00,163.54,0.00
104.19.100.101,4,4,0.00,163.55,0.00
104.19.105.229,4,4,0.00,163.56,0.00
104.16.226.44,4,4,0.00,163.56,0.00
104.18.43.113,4,4,0.00,163.62,0.00
104.18.197.209,4,4,0.00,163.66,0.00
104.18.32.164,4,4,0.00,163.71,0.00
104.17.233.207,4,4,0.00,163.71,0.00
104.17.113.46,4,4,0.00,163.72,0.00
104.19.62.81,4,4,0.00,163.94,0.00
104.19.124.134,4,4,0.00,164.04,0.00
104.16.241.240,4,4,0.00,164.15,0.00
104.16.235.151,4,4,0.00,164.31,0.00
104.16.239.238,4,4,0.00,164.32,0.00
104.18.14.81,4,4,0.00,164.43,0.00
104.19.184.127,4,4,0.00,164.61,0.00
104.19.142.197,4,4,0.00,164.76,0.00
104.18.173.220,4,4,0.00,164.78,0.00
104.18.182.43,4,4,0.00,164.80,0.00
